Job Title,Company,Location,Category,Expiry Date,Description,Source Site,Apply Email
INVITATION TO TENDER: SUPPLY AND INSTALLATION OF CHEMISTRY & PHYSICS LABORATORY BLOCK,World Vision,Harare,Education & Training,Expires 13 Aug 2025,"World Vision Registration No. PVO 26 /79 INVITATION TO TENDER: SUPPLY AND INSTALLATION OF CHEMISTRY & PHYSICS LABORATORY BLOCK World Vision invites tenders from reputable and experienced organizations for the supply and installation of a Chemistry and Physics laboratory block (1x2 rooms, each accommodating 30 learners) at Gogo Secondary School,",vacancymail.co.zw,wvzprocurement-harare@wvi.orgSubmission
Investigations Officer,Agricultural Finance Company Holdings (AFC),Harare,Finance & Banking,Expires 13 Aug 2025,"INVESTIGATIONS OFFICER ROLE PROFILE Reporting to the Audit Manager, the Investigations Officer will be responsible for investigating incidents of misconduct by internal and external members, as well as anomalies identified by Bank Management.",vacancymail.co.zw,careers@afcholdings.co.zw
AGRONOMY GRADUATE TRAINEE,Green Fuel,Chipinge,Education & Training,Expires 13 Aug 2025,Applications are invited from suitably qualified individuals to fill the above vacancy that has arisen in the Agronomy Department. The successful applicants will undergo a 2-year intensive training under the supervision of the Agronomist whilst performing any other duties as assigned.,vacancymail.co.zw,human.resources@ratingmiddlesabi.co.zw
CEDIS Project business case and success story documentation,Mercy Corps,Mutare,Legal,Expires 13 Aug 2025,"Project/Consultancy Title: CEDIS Project business case and success story documentation Project Location(s): Bulawayo, Mutare, Harare Project: With funding from the Embassy of Sweden, Mercy Corps is implementing the Catalysing Economic Development through the Informal Sector (CEDIS) program. The 4-year programme aims to improve incomes, working conditions and resilience to shocks",vacancymail.co.zw,zw-procurement@mercycorps.org
AGRONOMY GRADUATE TRAINEE,Green Fuel,Chipinge,Education & Training,Expires 13 Aug 2025,Applications are invited from suitably qualified individuals to fill the above vacancy that has arisen in the Agronomy Department. The successful applicants will undergo a 2-year intensive training under the supervision of the Agronomist whilst performing any other duties as assigned.,vacancymail.co.zw,human.resources@ratingmiddlesabi.co.zw
Expression of Interest for End of Project External Evaluation,Silveira House Jesuit Social Justice and Development Centre,Harare,NGO & Development,Expires 13 Aug 2025,"Silveira House Strong Institutions and Inclusive Participation (SIIP) Project 1. Introduction Silveira House (SH) is a not-for-profit, faith-based organisation founded in 1964 by Jesuit missionaries of the Roman Catholic Church. It is a social justice and development centre that seeks to take marginalised communities out of poverty, strengthen their resilience",vacancymail.co.zw,N/A
TERMS OF REFERENCE FOR LOCALISING THE CHILD & YOUTH SAFEGUARDING(CYS) POLICY.,SOS Children's Villages Zimbabwe,Harare,NGO & Development,Expires 12 Aug 2025,"TERMS OF REFERENCE FOR LOCALISING THE CHILD & YOUTH SAFEGUARDING(CYS) POLICY. Background of the Organisation 1 Context Established in 1949, SOS Children's Villages International is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care and those",vacancymail.co.zw,N/A
"Attach Loans Officer (Chipinge, Chimanimani)",Symdunes Financial Services,Chimanimani,Finance & Banking,Expires 11 Aug 2025,"The Attach Loan officer will evaluate, authorize approval or deny loan applications for people or for business, act as liaison between customers and our financial institution and help qualified applicants acquire loans in a timely manner. The Attach Loans Officer will report to the Senior Loans Officer.",vacancymail.co.zw,cvsymdunes@gmail.com
"Attach Loans Officer (Chipinge, Chimanimani)",Symdunes Financial Services,Chimanimani,Finance & Banking,Expires 11 Aug 2025,"The Attach Loan officer will evaluate, authorize approval or deny loan applications for people or for business, act as liaison between customers and our financial institution and help qualified applicants acquire loans in a timely manner. The Attach Loans Officer will report to the Senior Loans Officer.",vacancymail.co.zw,cvsymdunes@gmail.com
Adult Literacy Teacher - ICT,The Halo Trust,Mashonaland Central,IT & Technology,Expires 11 Aug 2025,"The ICT Teacher will deliver foundational digital literacy training to adult learners in remote or underserved communities, focusing on practical, context-relevant ICT skills aligned with the ECDL / ICDL (International Computer Driving Licence) curriculum and HEXCO standards. The Teacher will foster digital inclusion by empowering learners with essential computer competencies",vacancymail.co.zw,recruitment@halozim.org
Chemistry-Sciences Teacher,N/A,Harare,Education & Training,Expires 11 Aug 2025,Position: Chemistry-Sciences Teacher Location: Harare We are seeking a dynamic and passionate Chemistry-Sciences Teacher to join our team and inspire our Cambridge syllabus candidates. The ideal candidate will instill confidence in learners and foster a love for science.,vacancymail.co.zw,sciencechem2025@gmail.com
Instrumentation and Calibration Engineer,The Biotech Institute,Harare,IT & Technology,Expires 10 Aug 2025,"We are seeking a resourceful Instrumentation & Calibration Engineer to manage, maintain and calibrate the Institute's portfolio of laboratory and process instruments. The successful candidate will keep our asset register current, carry out scheduled maintenance and validations, and ensure full compliance with ISO/IEC 17025. The role shall also support the",vacancymail.co.zw,applications@biotechinst.com
A-Level Biology & Chemistry Teachers,N/A,Harare,Education & Training,Expires 10 Aug 2025,Are you a passionate educator with a strong background in science? Join our vibrant team at a leading institution in Harare dedicated to academic excellence and holistic development. Positions Available: Advanced Level Biology Teacher Advanced Level Chemistry Teacher,vacancymail.co.zw,academyhre@gmail.com
Accounts Clerk,N/A,Harare,Administration,Expires 10 Aug 2025,We are Hiring OPEN POSITION; Accounts Clerk,vacancymail.co.zw,brrecruitment2025@gmail.comI
Marketing Graduate Trainee,Midlands State University MSU,Gweru,Education & Training,Expires 10 Aug 2025,Applications are invited from suitably qualified and experienced persons for the following posts: MIDLANDS STATE UNIVERSITY ENTERPRISE DIVISION POST A: MARKETING GRADUATE TRAINEE (X1),vacancymail.co.zw,vacancies@staff.msu.ac.zw
AFTERCARE OFFICER ( 2 Posts),ZIDA,Harare,Finance & Banking,Expires 10 Aug 2025,"PURPOSE: Assists investors with post-establishment facilitation and support for investment retention expansion, and development of linkages between domestic and foreign investors to support the Agency's strategy.",vacancymail.co.zw,N/A
Sales Representative,N/A,Harare,Sales & Marketing,Expires 10 Aug 2025,"On behalf of our client, we are recruiting for the position of Sales Representative. We are seeking a driven and results-oriented individual to join their team. The successful candidate will be responsible for identifying potential clients, making cold calls, following up on leads, conducting client meetings, preparing proposals, and delivering",vacancymail.co.zw,hr@mjconsultants.co.zw
Sales and Marketing Officer,N/A,Harare,Sales & Marketing,Expires 10 Aug 2025,We are looking for a Sales and marketing officer,vacancymail.co.zw,theadvertiser25@gmail.com
Human Resources Supervisor,Isteel and Pump Solutions,Harare,Human Resources,Expires 10 Aug 2025,We are looking for a human resources supervisor to lead the human resources department.,vacancymail.co.zw,hrisp914@gmail.com
Office Administrator : RockHound Bricks,N/A,Harare,Administration,Expires 10 Aug 2025,WE'RE Hiring! OPEN POSITION Office Administrator Gender: Female,vacancymail.co.zw,rockhoundrecruitment@gmail.com
A-Level Biology & Chemistry Teachers,N/A,Harare,Education & Training,Expires 10 Aug 2025,Are you a passionate educator with a strong background in science? Join our vibrant team at a leading institution in Harare dedicated to academic excellence and holistic development. Positions Available: Advanced Level Biology Teacher Advanced Level Chemistry Teacher,vacancymail.co.zw,academyhre@gmail.com
Front Desk Receptionist,N/A,Harare,Administration,Expires 10 Aug 2025,A small startup is looking for a Front desk receptionist,vacancymail.co.zw,recruitment.up@yahoo.com
General Manager,Raysun Capital,Harare,IT & Technology,Expires 10 Aug 2025,"Raysun Capital is seeking an experienced and results-driven General Manager to lead the day-to-day operations, drive growth, and optimize performance across its financial services portfolio. The ideal candidate will have a strong background in microfinance or SME lending, a data-driven approach to decision-making, and a proven ability to lead high-performing",vacancymail.co.zw,recruitment@raysuncapital.com
Office Administrator : RockHound Bricks,N/A,Harare,Administration,Expires 10 Aug 2025,WE'RE Hiring! OPEN POSITION Office Administrator Gender: Female,vacancymail.co.zw,rockhoundrecruitment@gmail.com
Registered General Nurse,Gransharp Enterprises (Pvt) Ltd,Kwekwe,Healthcare,Expires 09 Aug 2025,We are seeking a dedicated and compassionate Registered General Nurse to join our healthcare team. The ideal candidate will provide high-quality nursing care to patients in compliance with established medical protocols.,vacancymail.co.zw,careersgransharpenterprises@gmail.com
PRIMARY CARE NURSE X 1,Green Fuel,Chipinge,Healthcare,Expires 09 Aug 2025,"To support the SHE operations by attending to emergencies of employees, accompany patients to hospital, assisting the nursing staff and any other duties as assigned.",vacancymail.co.zw,tsitsi.nhataniso@greenfuel.co.zwONLY
Supply Chain Attachee,Fidelity Life Assurance,Harare,Education & Training,Expires 08 Aug 2025,We are inviting applications for a student attachment opportunity in our Supply Chain department. This role is ideal for students currently pursuing a degree in Supply Chain Management or a related field. The successful candidate will gain hands-on experience and practical exposure in a dynamic work environment.,vacancymail.co.zw,careers@fidelitylife.co.zw
Facilities Engineer,ZINARA,Harare,IT & Technology,Expires 08 Aug 2025,"Vacancy Notice Applications are invited from suitably qualified candidates to fill the following post. FACILITIES ENGINEER (GRADE D2) MAIN PURPOSE OF THE JOB The position is responsible for maintenance of office equipment, buildings, tollgates, weighbridges and other equipment (e.g., civil, mechanical, electrical works, etc.). The Facilities Engineer handles construction, maintenance",vacancymail.co.zw,N/A
Graduate Trainees - Sales,Panmart,Manicaland,Sales & Marketing,Expires 08 Aug 2025,"Are you a recent graduate ready to kickstart your career in sales? We are looking for dynamic, self-motivated, and ambitious individuals to join our Graduate Trainee Program in Sales",vacancymail.co.zw,admin@mauriberg.co.zw
Biker / Courier,N/A,Harare,Human Resources,Expires 08 Aug 2025,"We're hiring experienced and enthusiastic bikers to join our delivery team. As a courier, you'll be responsible for transporting packages, to various locations in a timely and safe manner. This is a great opportunity for people who enjoy being outdoors and staying active while working.",vacancymail.co.zw,lashainmark@gmail.com
Head Of Supply Chain,N/A,Harare,Administration,Expires 08 Aug 2025,"We are seeking a vibrant and dynamic individual to join our team. Reporting to the Chief Executive Officer, the successful applicant will, among other key duties, be responsible for effectively and efficiently sourcing goods and services whilst managing the business relationship with established suppliers to support the strategic and operational",vacancymail.co.zw,recruith.hr2025@gmail.com
Vice Chancellor's Personal Assistant,Africa University - AU,Mutare,Education & Training,Expires 08 Aug 2025,"VICE CHANCELLOR'S PERSONAL ASSISTANT Reporting to the Vice Chancellor, the Personal Assistant provides high-level administrative and operational support to the Vice-Chancellor whose activities are multi-dimensional, extremely complex and externally visible, and are paramount to the success, reputation and integrity of the University.",vacancymail.co.zw,careers@africau.edu
FINANCE INTERN,Adult RApe Clinic,Harare,Healthcare,Expires 08 Aug 2025,Applications are invited from candidates for internship as a Finance Intern. The Adult Rape Clinic (ARC) is a Registered Non-Governmental Organization that offers medical and psychosocial support care to survivors of sexual gender-based violence (SGBV). ARC is looking for a Finance Intern to be based in Harare. ARC's employment policy,vacancymail.co.zw,arcrecruitment2009@gmail.com
Facilities Engineer,ZINARA,Harare,IT & Technology,Expires 08 Aug 2025,"Vacancy Notice Applications are invited from suitably qualified candidates to fill the following post. FACILITIES ENGINEER (GRADE D2) MAIN PURPOSE OF THE JOB The position is responsible for maintenance of office equipment, buildings, tollgates, weighbridges and other equipment (e.g., civil, mechanical, electrical works, etc.). The Facilities Engineer handles construction, maintenance",vacancymail.co.zw,N/A
Biker / Courier,N/A,Harare,Human Resources,Expires 08 Aug 2025,"We're hiring experienced and enthusiastic bikers to join our delivery team. As a courier, you'll be responsible for transporting packages, to various locations in a timely and safe manner. This is a great opportunity for people who enjoy being outdoors and staying active while working.",vacancymail.co.zw,lashainmark@gmail.com
SALES AND MARKETING GRADUATE TRAINEE,TOTAL NETWORKS,Bulawayo,IT & Technology,Expires 08 Aug 2025,Train under experienced manager to:  Effectively sell the company's products and/or related services.  securing orders from existing and prospective customers through a relationship-based approach.  Explain products and services to existing/potential customers and assists them in selecting those best suited to their needs.,vacancymail.co.zw,admin@tnet.co.zw
FINANCE INTERN,Adult RApe Clinic,Harare,Healthcare,Expires 08 Aug 2025,Applications are invited from candidates for internship as a Finance Intern. The Adult Rape Clinic (ARC) is a Registered Non-Governmental Organization that offers medical and psychosocial support care to survivors of sexual gender-based violence (SGBV). ARC is looking for a Finance Intern to be based in Harare. ARC's employment policy,vacancymail.co.zw,arcrecruitment2009@gmail.com
Lecturer/Senior Lecturer/Associate Professor/Professor in Crop Science,Africa University - AU,Mutare,Education & Training,Expires 08 Aug 2025,"Reporting to the HOD, the incumbent will serve as a Crop Science Lecturer and will be teaching and conducting solution-oriented research that will lead to policy change, commercialisation, and industrialisation in line with the Education 5.0. Desired Attributes:",vacancymail.co.zw,careers@africau.edu
Graduate Trainees - Sales,Panmart,Manicaland,Sales & Marketing,Expires 08 Aug 2025,"Are you a recent graduate ready to kickstart your career in sales? We are looking for dynamic, self-motivated, and ambitious individuals to join our Graduate Trainee Program in Sales",vacancymail.co.zw,admin@mauriberg.co.zw
Class 3 and 4 Driver,Midlands State University MSU,Gweru,Education & Training,Expires 08 Aug 2025,Applications are invited from suitably qualified and experienced persons for the following post: NATIONAL PATHOLOGY RESEARCH AND DIAGNOSTIC CENTRE Post A: CLASS 3 AND 4 DRIVER (1 Post),vacancymail.co.zw,vacancies@staff.msu.ac.zw
2 Quantity Surveyors,Nengo builders,Harare,Sales & Marketing,Expires 08 Aug 2025,To work in the Commercial department as a Quantity surveyor being guided by the responsibilities and duties as stipulated below.,vacancymail.co.zw,nengorecruitment@gmail.comPosition
Charge Sister,The Avenues Clinic,Harare,Healthcare,Expires 08 Aug 2025,We are hiring We are seeking an experienced Registered General Nurse with a post-basic specialty qualification to lead clinical and operational activities in our wards.,vacancymail.co.zw,recruitment@theavenuesclinic.co.zw
ADVISOR- PROGRAM QUALITY LEARNING AND ACCOUNTABILITY,ActionAid Zimbabwe,Harare,Education & Training,Expires 08 Aug 2025,"The Advisor will be responsible for ensuring program quality, accountability and learning across ActionAid Zimbabwe's programs and partnerships. A key part of the role involves the strategic coordination of monitoring, evaluation, and documentation, and providing high-level advice to the Country Director and Programs Lead on program performance and impact. This",vacancymail.co.zw,N/A
ADVISOR- PROGRAM QUALITY LEARNING AND ACCOUNTABILITY,ActionAid Zimbabwe,Harare,Education & Training,Expires 08 Aug 2025,"The Advisor will be responsible for ensuring program quality, accountability and learning across ActionAid Zimbabwe's programs and partnerships. A key part of the role involves the strategic coordination of monitoring, evaluation, and documentation, and providing high-level advice to the Country Director and Programs Lead on program performance and impact. This",vacancymail.co.zw,N/A
IT Student On Attachment Wanted,WebZim,Harare,IT & Technology,Expires 08 Aug 2025,Webzim is looking for an IT Student on Attachment. The ideal candidate must be studying towards a degree in IT or related degree. Location: Harare.,vacancymail.co.zw,jobs@webzim.co.zw
Apprenticeship Intake 2026,Hippo Valley,Chiredzi,Management,Expires 08 Aug 2025,"APPRENTICESHIP INTAKE 2026 Tongaat Hulett is an agricultural and agri-processing business which includes integrated components of land management and property development. Through its sugar operations, Tongaat Hulett emphasizes on renewable energy, with biofuel production and electricity generation becoming increasingly important to the business. The current focus is on leveraging the",vacancymail.co.zw,N/A
Student on Attachment- Accounting,Isteel and Pump Solutions,Harare,Education & Training,Expires 08 Aug 2025,We are looking for a student on attachment to join our accounts team.,vacancymail.co.zw,hrisp914@gmail.com
Night Nursing Manager,The Avenues Clinic,Harare,Healthcare,Expires 08 Aug 2025,"We are hiring NIGHT NURSING MANAGER We are seeking a qualified and experienced Night Nursing Manager to oversee hospital operations, ensure quality patient care, and manage clinical and nursing teams during night shifts.",vacancymail.co.zw,recruitment@theavenuesclinic.co.zw
Facilities Engineer,ZINARA,Harare,IT & Technology,Expires 08 Aug 2025,"Vacancy Notice Applications are invited from suitably qualified candidates to fill the following post. FACILITIES ENGINEER (GRADE D2) MAIN PURPOSE OF THE JOB The position is responsible for maintenance of office equipment, buildings, tollgates, weighbridges and other equipment (e.g., civil, mechanical, electrical works, etc.). The Facilities Engineer handles construction, maintenance",vacancymail.co.zw,N/A
Vice Chancellor's Personal Assistant,Africa University - AU,Mutare,Education & Training,Expires 08 Aug 2025,"VICE CHANCELLOR'S PERSONAL ASSISTANT Reporting to the Vice Chancellor, the Personal Assistant provides high-level administrative and operational support to the Vice-Chancellor whose activities are multi-dimensional, extremely complex and externally visible, and are paramount to the success, reputation and integrity of the University.",vacancymail.co.zw,careers@africau.edu
Graduate Trainees - Sales,Panmart,Manicaland,Sales & Marketing,Expires 08 Aug 2025,"Are you a recent graduate ready to kickstart your career in sales? We are looking for dynamic, self-motivated, and ambitious individuals to join our Graduate Trainee Program in Sales",vacancymail.co.zw,admin@mauriberg.co.zw
Class 3 and 4 Driver,Midlands State University MSU,Gweru,Education & Training,Expires 08 Aug 2025,Applications are invited from suitably qualified and experienced persons for the following post: NATIONAL PATHOLOGY RESEARCH AND DIAGNOSTIC CENTRE Post A: CLASS 3 AND 4 DRIVER (1 Post),vacancymail.co.zw,vacancies@staff.msu.ac.zw
SALES AND MARKETING GRADUATE TRAINEE,TOTAL NETWORKS,Bulawayo,IT & Technology,Expires 08 Aug 2025,Train under experienced manager to:  Effectively sell the company's products and/or related services.  securing orders from existing and prospective customers through a relationship-based approach.  Explain products and services to existing/potential customers and assists them in selecting those best suited to their needs.,vacancymail.co.zw,admin@tnet.co.zw
COMPLIANCE OFFICER,EmpowerBank Limited,Harare,Administration,Expires 08 Aug 2025,An exciting opportunity for a Compliance Officer has arisen within our Compliance department. Suitable and qualified candidates are encouraged to apply. The successful candidate shall be responsible for ensuring that all bank operations conform with governing laws and regulations.,vacancymail.co.zw,hr@empowerbank.co.zw
Operations Manager,N/A,Harare,Sales & Marketing,Expires 07 Aug 2025,"We are recruiting, on behalf of our client, a detail-oriented and highly organized Operations Manager to join the growing operations team of their organization. This is an exciting opportunity to support daily operations and contribute to the success of the business. Its a leading chemical manufacturing company specializing in the",vacancymail.co.zw,hr@mjconsultants.co.zw
"Social Work, Psychology, Sociology Attachees",Friendship Bench,Harare,Education & Training,Expires 07 Aug 2025,"WE ARE RECRUITING Youth Friendship Bench Volunteers CRITERIA Are you a student studying Social Work, Psychology, Sociology or a related degree? We are looking for you!",vacancymail.co.zw,TOinfo@friendshipbench.io
